County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,LAhalfand10
Anoka County,1,6633,2328,0,0.0,0.0,1,0,5.3098773402195,100819.0,1022.0,1962.0,359.0,5572.0,136.0,539.0,1.0,38.0,347.0,323.0,97.0,192.0,1
Anoka County,1,6534,2144,0,4.0,0.061218243036424855,0,0,5.6387905202942,120241.0,1002.0,1986.0,509.0,6123.0,124.0,88.0,0.0,26.0,173.0,124.0,169.0,164.0,1
Anoka County,0,5123,1884,0,12.0,0.23423775131758734,0,0,5.71054109717281,97663.0,844.0,1209.0,428.0,4948.0,18.0,40.0,3.0,33.0,81.0,71.0,46.0,107.0,0
Anoka County,1,5956,2205,0,36.0,0.6044325050369375,0,0,5.87863463969659,79792.0,1327.0,1595.0,488.0,4772.0,302.0,589.0,1.0,37.0,255.0,256.0,15.0,247.0,1
Anoka County,1,3733,1579,0,59.0,1.5804982587731047,0,1,5.89076351158136,59145.0,996.0,942.0,329.0,2400.0,700.0,245.0,0.0,56.0,332.0,326.0,133.0,241.0,1
Anoka County,1,3977,1458,0,0.0,0.0,0,0,5.93599734704029,125660.0,731.0,1120.0,243.0,3321.0,138.0,416.0,0.0,8.0,94.0,98.0,20.0,17.0,1
Anoka County,1,2496,1053,0,91.0,3.6458333333333335,0,1,6.04103343465046,64545.0,750.0,527.0,460.0,2277.0,48.0,14.0,0.0,37.0,120.0,113.0,66.0,102.0,1
Anoka County,0,4443,1450,0,42.0,0.9453072248480756,0,0,6.1518324607329795,120096.0,468.0,1258.0,313.0,4276.0,39.0,56.0,0.0,24.0,48.0,46.0,16.0,76.0,0
Anoka County,1,2475,1089,0,4.0,0.1616161616161616,0,1,6.2523122456529805,54803.0,678.0,462.0,420.0,2072.0,109.0,162.0,0.0,13.0,119.0,99.0,94.0,193.0,1
Anoka County,1,3001,1038,0,3.0,0.09996667777407531,0,0,6.34478489631693,122000.0,468.0,892.0,211.0,2520.0,117.0,249.0,0.0,7.0,108.0,65.0,78.0,67.0,1
Anoka County,1,3125,1188,0,7.0,0.22399999999999998,0,0,6.7219152854512,77827.0,542.0,700.0,311.0,2846.0,81.0,55.0,0.0,26.0,117.0,94.0,17.0,109.0,1
Anoka County,1,2207,854,0,0.0,0.0,0,1,6.73166202414113,69615.0,502.0,478.0,326.0,1974.0,61.0,34.0,0.0,29.0,109.0,95.0,37.0,58.0,1
Anoka County,1,4134,1819,0,9.0,0.21770682148040638,0,1,6.812985825331499,66010.0,1102.0,880.0,575.0,3452.0,181.0,271.0,0.0,52.0,178.0,179.0,83.0,216.0,1
Anoka County,1,3759,1508,0,14.0,0.37243947858473,0,0,7.542512342292921,82819.0,800.0,778.0,617.0,3133.0,136.0,150.0,1.0,42.0,297.0,273.0,84.0,155.0,1
Anoka County,1,4289,1672,0,140.0,3.2641641408253674,1,0,7.7944015444015395,79609.0,971.0,1037.0,540.0,3682.0,258.0,156.0,0.0,25.0,168.0,106.0,118.0,134.0,1
Anoka County,1,2409,1010,0,11.0,0.45662100456621,0,1,8.030168589174801,74000.0,629.0,544.0,320.0,1784.0,294.0,98.0,6.0,42.0,185.0,207.0,45.0,53.0,1
Anoka County,1,3452,1290,0,2.0,0.057937427578215524,0,1,8.34743372814439,64868.0,1008.0,802.0,431.0,3009.0,132.0,157.0,0.0,17.0,137.0,106.0,19.0,97.0,1
Anoka County,0,4750,1680,0,0.0,0.0,0,0,8.38161452298185,83355.0,971.0,1486.0,300.0,4528.0,40.0,43.0,4.0,17.0,118.0,89.0,10.0,208.0,0
Anoka County,1,2919,963,0,0.0,0.0,0,0,8.51816136290582,108152.0,457.0,874.0,174.0,2701.0,69.0,70.0,0.0,15.0,64.0,62.0,8.0,89.0,1
Anoka County,1,2972,1076,0,24.0,0.8075370121130552,0,0,9.13367306938456,83514.0,727.0,839.0,226.0,2577.0,173.0,83.0,1.0,19.0,119.0,104.0,92.0,124.0,1
Anoka County,1,4491,1813,0,32.0,0.7125361834780672,1,1,9.21619293712317,66333.0,1467.0,1041.0,573.0,3819.0,288.0,84.0,2.0,47.0,251.0,178.0,132.0,247.0,1
Anoka County,1,3432,1272,0,12.0,0.34965034965034963,0,1,9.85525100092393,58448.0,940.0,928.0,286.0,2713.0,370.0,125.0,0.0,20.0,204.0,142.0,100.0,276.0,1
